season,round,race_name,circuit,date,position,driver_code,driver_name,constructor,grid,laps,status,points,positions_gained
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,8,ALB,Alexander Albon,Red Bull,12,52,Finished,4.0,4
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,9,STR,Lance Stroll,Racing Point,6,52,Finished,2.0,-3
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,10,VET,Sebastian Vettel,Ferrari,10,52,Finished,1.0,0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,11,BOT,Valtteri Bottas,Mercedes,2,52,Finished,0.0,-9
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,12,RUS,George Russell,Williams,20,52,Finished,0.0,8
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,13,SAI,Carlos Sainz,McLaren,7,52,Finished,0.0,-6
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,14,GIO,Antonio Giovinazzi,Alfa Romeo,15,52,Finished,0.0,1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,15,LAT,Nicholas Latifi,Williams,18,52,Finished,0.0,3
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,16,GRO,Romain Grosjean,Haas F1 Team,17,52,Finished,0.0,1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,17,RAI,Kimi Räikkönen,Alfa Romeo,16,51,+1 Lap,0.0,-1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,18,KVY,Daniil Kvyat,AlphaTauri,19,11,Accident,0.0,1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,19,MAG,Kevin Magnussen,Haas F1 Team,14,1,Collision,0.0,-5
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,20,HUL,Nico Hülkenberg,Racing Point,13,0,Power Unit,0.0,-7
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,1,VER,Max Verstappen,Red Bull,4,52,Finished,25.0,3
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,2,HAM,Lewis Hamilton,Mercedes,2,52,Finished,19.0,0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,3,BOT,Valtteri Bottas,Mercedes,1,52,Finished,15.0,-2
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,4,LEC,Charles Leclerc,Ferrari,8,52,Finished,12.0,4
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,5,ALB,Alexander Albon,Red Bull,9,52,Finished,10.0,4
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,6,STR,Lance Stroll,Racing Point,6,52,Finished,8.0,0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,7,HUL,Nico Hülkenberg,Racing Point,3,52,Finished,6.0,-4
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,8,OCO,Esteban Ocon,Renault,14,52,Finished,4.0,6
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,9,NOR,Lando Norris,McLaren,10,52,Finished,2.0,1
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,10,KVY,Daniil Kvyat,AlphaTauri,16,52,Finished,1.0,6
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,11,GAS,Pierre Gasly,AlphaTauri,7,52,Finished,0.0,-4
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,12,VET,Sebastian Vettel,Ferrari,11,52,Finished,0.0,-1
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,13,SAI,Carlos Sainz,McLaren,12,52,Finished,0.0,-1
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,14,RIC,Daniel Ricciardo,Renault,5,51,+1 Lap,0.0,-9
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,15,RAI,Kimi Räikkönen,Alfa Romeo,20,51,+1 Lap,0.0,5
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,16,GRO,Romain Grosjean,Haas F1 Team,13,51,+1 Lap,0.0,-3
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,17,GIO,Antonio Giovinazzi,Alfa Romeo,19,51,+1 Lap,0.0,2
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,18,RUS,George Russell,Williams,15,51,+1 Lap,0.0,-3
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,19,LAT,Nicholas Latifi,Williams,18,51,+1 Lap,0.0,-1
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,20,MAG,Kevin Magnussen,Haas F1 Team,17,43,Retired,0.0,-3
